feature,gain,fold,mean_gain
hostgal_photoz,1965,1,1928.5714285714287
mjd_diff_det,1418,1,1460.857142857143
distmod,1269,1,1304.142857142857
hostgal_photoz_certain,1267,1,1289.0
hostgal_photoz_err,717,1,829.0
mjd__mean_abs_change,690,1,709.1428571428571
flux__longest_strike_above_mean,657,1,667.5714285714286
flux__sample_entropy,485,1,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,465,1,483.85714285714283
flux_by_flux_ratio_sq__median,436,1,405.57142857142856
flux_by_flux_ratio_sq__minimum,442,1,420.42857142857144
flux_by_flux_ratio_sq_skew,406,1,396.14285714285717
flux__cid_ce__normalize_True,425,1,428.7142857142857
mjd__mean_change,368,1,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,379,1,370.0
flux_diff2,375,1,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,385,1,350.42857142857144
bottom__flux_dif3,276,1,272.7142857142857
flux_err_min,453,1,397.85714285714283
0__abs_energy_norm,432,1,368.14285714285717
5__abs_energy_norm,284,1,299.42857142857144
2__skewness,276,1,260.0
2__median,270,1,283.7142857142857
bottom__flux_diff,299,1,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",250,1,310.2857142857143
flux_diff_2_by_1,357,1,302.2857142857143
1__skewness,248,1,274.57142857142856
flux_skew,303,1,304.57142857142856
flux__binned_entropy__max_bins_10,277,1,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,232,1,247.28571428571428
top__flux_dif3,289,1,289.0
4__cid_ce__normalize_True,298,1,293.57142857142856
flux__autocorrelation__lag_3,270,1,292.42857142857144
flux_diff__sample_entropy,285,1,293.7142857142857
abs_energy_5_by_0,222,1,247.28571428571428
abs_energy_4_by_0,301,1,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,319,1,295.85714285714283
2__cid_ce__normalize_True,321,1,307.85714285714283
1__abs_energy_norm,232,1,280.2857142857143
0__cid_ce__normalize_True,281,1,266.42857142857144
1__cid_ce__normalize_True,235,1,305.0
2__minimum,277,1,281.42857142857144
flux_diff__longest_strike_above_mean,262,1,269.0
0__flux_by_flux_ratio_sq_sum,263,1,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,243,1,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,174,1,236.14285714285714
abs_energy_3_by_1,297,1,283.85714285714283
detected_mean,262,1,280.42857142857144
4__kurtosis,266,1,236.28571428571428
